second-level_category,date,residual
Automobile Interior Accessories,2023-06-01,-3858.913834571955
Automobile Interior Accessories,2023-07-01,2379.242302575687
Automobile Interior Accessories,2023-08-01,9309.206567975401
Automobile Interior Accessories,2023-09-01,12442.682253536957
Automobile Interior Accessories,2023-10-01,24616.203230750107
Automobile Interior Accessories,2023-11-01,16779.253427129923
Automobile Interior Accessories,2023-12-01,52221.61371041022
Automobile Interior Accessories,2024-01-01,5864.109181879874
Automobile Interior Accessories,2024-02-01,63303.80276817041
Automobile Interior Accessories,2024-03-01,-78699.38342965243
Automobile Interior Accessories,2024-04-01,-22422.44402364947
Automobile Interior Accessories,2024-05-01,195494.81644370826
Automobile Interior Accessories,2024-06-01,196081.62921848043
Automobile Interior Accessories,2024-07-01,-90664.37809529295
Automobile Interior Accessories,2024-08-01,3128.3758043055423
Automobile Interior Accessories,2024-09-01,1228860.1654307935
Automobile Interior Accessories,2024-10-01,-307611.5725548414
Automobile Interior Accessories,2024-11-01,1137.0876952059334
Automobile Interior Accessories,2024-12-01,-174935.24233129056
Automobile Interior Accessories,2025-01-01,-148124.98930398625
Automobile Interior Accessories,2025-02-01,-168349.5043936844
Automobile Interior Accessories,2025-03-01,-93188.67414478521
Automobile Interior Accessories,2025-04-01,-9874.972487534338
Automobile Interior Accessories,2025-05-01,-144449.68255951867
Automobile Interior Accessories,2025-06-01,-27578.25059196842
Automobile Interior Accessories,2025-07-01,12051.723914905451
Automobile Interior Accessories,2025-08-01,478343.2655538335
Automobile Interior Accessories,2025-09-01,136793.74890286988
Automobile Interior Accessories,2025-10-01,398823.0237985542
Automobile Interior Accessories,2025-11-01,341034.39961168915
Automobile Spare Parts,2022-03-01,68145.0
Automobile Spare Parts,2022-04-01,22366.117400671676
Automobile Spare Parts,2022-05-01,-32308.36496413636
Automobile Spare Parts,2022-06-01,36317.624956402935
Automobile Spare Parts,2022-07-01,-41194.45918967191
Automobile Spare Parts,2022-08-01,71676.60205925725
Automobile Spare Parts,2022-09-01,-109374.39881787496
Automobile Spare Parts,2022-10-01,120343.78665631729
Automobile Spare Parts,2022-11-01,-217927.95404976985
Automobile Spare Parts,2022-12-01,366626.6569152472
Automobile Spare Parts,2023-01-01,-409541.39881393424
Automobile Spare Parts,2023-02-01,555637.4590258645
Automobile Spare Parts,2023-03-01,-692840.18595326
Automobile Spare Parts,2023-04-01,933219.5928030804
Automobile Spare Parts,2023-05-01,-1241050.7511014026
Automobile Spare Parts,2023-06-01,1583180.732673052
Automobile Spare Parts,2023-07-01,-1885085.6023157595
Automobile Spare Parts,2023-08-01,2113648.4812414045
Automobile Spare Parts,2023-09-01,-2101056.701971523
Automobile Spare Parts,2023-10-01,1885890.9785427442
Automobile Spare Parts,2023-11-01,-1551858.8198806061
Automobile Spare Parts,2023-12-01,1258518.2699842837
Automobile Spare Parts,2024-01-01,-895452.0320586509
Automobile Spare Parts,2024-02-01,702636.2709854601
Automobile Spare Parts,2024-03-01,-849976.9009351481
Automobile Spare Parts,2024-04-01,374183.6929138297
Automobile Spare Parts,2024-05-01,-67033.44034624781
Automobile Spare Parts,2024-06-01,342815.65429493133
Automobile Spare Parts,2024-07-01,-440145.45632262714
Automobile Spare Parts,2024-08-01,-70845.65503041598
Automobile Spare Parts,2024-09-01,667832.4416992214
Automobile Spare Parts,2024-10-01,-231241.68457398505
Automobile Spare Parts,2024-11-01,212354.02081287783
Automobile Spare Parts,2024-12-01,-301007.48767328635
Automobile Spare Parts,2025-01-01,-331637.338047629
Automobile Spare Parts,2025-02-01,153352.86554224975
Automobile Spare Parts,2025-03-01,668087.9958159477
Automobile Spare Parts,2025-04-01,181066.85250963405
Automobile Spare Parts,2025-05-01,-377563.3331376682
Automobile Spare Parts,2025-06-01,127162.69096672186
Automobile Spare Parts,2025-07-01,-174392.10969754198
Automobile Spare Parts,2025-08-01,707436.730094396
Automobile Spare Parts,2025-09-01,359156.6964574007
Automobile Spare Parts,2025-10-01,-318929.729424356
Automobile Spare Parts,2025-11-01,1193668.4983999587
Automotive Care,2022-03-01,90017.0
Automotive Care,2022-04-01,30049.49839906294
Automotive Care,2022-05-01,7424.084000449919
Automotive Care,2022-06-01,16502.62071067597
Automotive Care,2022-07-01,36832.11112763353
Automotive Care,2022-08-01,241.93760002049385
Automotive Care,2022-09-01,-35004.39090822553
Automotive Care,2022-10-01,-59641.15834750986
Automotive Care,2022-11-01,-42551.47636752049
Automotive Care,2022-12-01,71473.01375697614
Automotive Care,2023-01-01,93116.44718771765
Automotive Care,2023-02-01,56380.29004405765
Automotive Care,2023-03-01,-44038.5599904455
Automotive Care,2023-04-01,-55333.95890399319
Automotive Care,2023-05-01,-18022.41076349691
Automotive Care,2023-06-01,8209.792246249563
Automotive Care,2023-07-01,24585.357764667133
Automotive Care,2023-08-01,10655.082652780606
Automotive Care,2023-09-01,-30812.933607480256
Automotive Care,2023-10-01,-16539.077637711016
Automotive Care,2023-11-01,-30633.833267612674
Automotive Care,2023-12-01,25113.929321701464
Automotive Care,2024-01-01,64739.81537858385
Automotive Care,2024-02-01,59796.69082807767
Automotive Care,2024-03-01,-197304.6525529488
Automotive Care,2024-04-01,-12007.682639141945
Automotive Care,2024-05-01,96613.0275056826
Automotive Care,2024-06-01,332710.6167598809
Automotive Care,2024-07-01,-49625.63923730038
Automotive Care,2024-08-01,-108510.85499476711
Automotive Care,2024-09-01,908529.1763533555
Automotive Care,2024-10-01,-681012.0099694878
Automotive Care,2024-11-01,-308052.96291733976
Automotive Care,2024-12-01,12202.817806375097
Automotive Care,2025-01-01,272090.2288884188
Automotive Care,2025-02-01,105042.60954583168
Automotive Care,2025-03-01,-294174.31460032286
Automotive Care,2025-04-01,-83245.88921016711
Automotive Care,2025-05-01,16210.131814622728
Automotive Care,2025-06-01,330969.73478172283
Automotive Care,2025-07-01,207040.7191730179
Automotive Care,2025-08-01,359980.7713460703
Automotive Care,2025-09-01,268748.62880546786
Automotive Care,2025-10-01,322955.0665915916
Automotive Care,2025-11-01,390299.659603626
Automotive Keychains & Key Covers,2022-03-01,5339.0
Automotive Keychains & Key Covers,2022-04-01,-484.4031210252515
Automotive Keychains & Key Covers,2022-05-01,-376.4457554874343
Automotive Keychains & Key Covers,2022-06-01,-13.35253041881424
Automotive Keychains & Key Covers,2022-07-01,3139.9275872746593
Automotive Keychains & Key Covers,2022-08-01,5674.812852042036
Automotive Keychains & Key Covers,2022-09-01,6559.34320485065
Automotive Keychains & Key Covers,2022-10-01,8883.37118317236
Automotive Keychains & Key Covers,2022-11-01,-4335.658955891304
Automotive Keychains & Key Covers,2022-12-01,16780.783968534597
Automotive Keychains & Key Covers,2023-01-01,11332.915133964925
